Age,10th & Page_T,Barracks / Rugby_T,Barracks Road_T,Belmont_T,Fifeville_T,Fry's Spring_T,Greenbrier_T,Jefferson Park Avenue_T,Johnson Village_T,Lewis Mountain_T,Locust Grove_T,Martha Jefferson_T,North Downtown_T,Ridge Street_T,Rose Hill_T,Starr Hill_T,The Meadows_T,Venable_T,Woolen Mills_T,10th & Page_Tct,Barracks / Rugby_Tct,Barracks Road_Tct,Belmont_Tct,Fifeville_Tct,Fry's Spring_Tct,Greenbrier_Tct,Jefferson Park Avenue_Tct,Johnson Village_Tct,Lewis Mountain_Tct,Locust Grove_Tct,Martha Jefferson_Tct,North Downtown_Tct,Ridge Street_Tct,Rose Hill_Tct,Starr Hill_Tct,The Meadows_Tct,Venable_Tct,Woolen Mills_Tct,Year
70 to 74,2.5089605734767026,3.6683417085427137,0.0,4.185727355901189,2.287581699346405,4.919583727530747,5.937084625609216,0.7894736842105263,1.2367491166077738,1.3404825737265416,1.375059269796112,1.4435695538057742,3.5071942446043165,1.0497981157469718,0.0,7.956777996070727,1.5278462296697881,0.9725223834516826,1.3059701492537314,28,73,0,183,84,156,134,30,28,10,29,22,78,39,0,81,31,63,14,2015
75 to 79,2.598566308243728,3.7688442211055277,0.0,2.17291857273559,0.4357298474945534,0.0,3.633141338059371,0.0,2.5176678445229683,0.0,1.1379800853485065,0.0,1.9784172661870503,2.2611036339165547,0.0,3.2416502946954813,1.3799901429275505,0.5711639394874961,3.638059701492537,29,75,0,95,16,0,82,0,57,0,24,0,44,84,0,33,28,37,39,2015
80 to 84,2.4193548387096775,0.45226130653266333,0.0,0.45745654162854527,1.1437908496732025,1.9867549668874172,4.563579973416039,0.631578947368421,1.4134275618374559,0.0,4.883831199620674,3.3464566929133857,1.5287769784172662,0.5114401076716016,0.0,4.2239685658153245,1.429275505174963,0.4322321704229701,2.425373134328358,27,9,0,20,42,63,103,24,32,0,103,51,34,19,0,43,29,28,26,2015
85 and up,0.0,3.3668341708542715,0.0,0.8005489478499542,0.32679738562091504,0.8199306212551246,3.234381922906513,0.0,0.0,2.8150134048257374,3.0820293978188715,1.7716535433070866,1.3039568345323742,0.18842530282637954,0.0,7.956777996070727,2.0206998521439132,0.15436863229391787,0.0,0,67,0,35,12,26,73,0,0,21,65,27,29,7,0,81,41,10,0,2015
0 to 4,11.21311475409836,5.739617358842744,6.586826347305389,3.9808917197452227,8.866471993628883,8.644578313253012,6.439211917347429,1.597526410718887,8.853006681514477,0.0,8.337193144974526,5.6186868686868685,4.915730337078652,7.747015494030988,2.1080368906455864,6.586270871985158,7.028599127484246,0.3715670436187399,7.333333333333333,171,123,55,175,334,287,134,62,159,0,180,89,105,305,16,71,145,23,77,2016
5 to 9,1.7049180327868851,6.952869808679421,0.0,5.368516833484986,4.459782320148659,1.536144578313253,5.958673714560308,1.030662200463798,6.7928730512249444,1.0739856801909309,1.8527095877721167,4.166666666666667,5.149812734082397,8.940817881635763,3.820816864295125,1.1131725417439704,6.786233640329617,2.1647819063004845,6.285714285714286,26,149,0,236,168,51,124,40,122,9,40,66,110,352,29,12,140,134,66,2016
10 to 14,4.262295081967213,4.153056462902473,1.3173652694610778,2.957233848953594,5.149986726838333,4.066265060240964,4.805382027871215,0.4380314351971141,7.293986636971047,0.0,3.983325613710051,4.797979797979798,3.3707865168539324,5.7912115824231645,9.617918313570488,1.6697588126159555,4.604944255937954,2.132471728594507,2.4761904761904763,65,89,11,130,194,135,100,17,131,0,86,76,72,228,73,18,95,132,26,2016
15 to 19,2.4262295081967213,2.9398040130657956,7.664670658682635,2.8662420382165603,2.81391027342713,1.4156626506024097,3.027390677558866,12.90904406080907,2.2271714922048997,12.649164677804295,6.947660954145437,2.6515151515151514,3.0430711610486894,6.045212090424181,9.881422924901186,4.081632653061225,1.8904507998061075,13.08562197092084,0.0,37,63,64,126,106,47,63,501,40,106,150,42,65,238,75,44,39,810,0,2016
20 to 24,16.78688524590164,5.786280914605693,33.77245508982036,4.777070063694268,9.423944783647466,8.132530120481928,3.1715521383950023,51.507343468178306,11.135857461024498,44.86873508353222,1.9453450671607226,2.1464646464646466,5.337078651685394,4.724409448818897,17.654808959156785,10.296846011131725,5.138148327678139,54.39418416801293,9.238095238095237,256,124,282,210,355,270,66,1999,200,376,42,34,114,186,134,111,106,3367,97,2016
25 to 29,12.459016393442623,10.452636490900607,34.25149700598802,17.447679708826204,11.229094770374303,14.457831325301205,3.315713599231139,17.263591857768617,5.011135857461024,10.859188544152744,7.827698008337193,11.742424242424242,11.704119850187267,10.591821183642367,8.563899868247693,14.84230055658627,17.59573436742608,8.15831987075929,13.619047619047619,190,224,286,767,423,480,69,670,90,91,169,186,250,417,65,160,363,505,143,2016
