id,airbnb_property_id,homeaway_property_id,m_homeaway_property_id,title,room_type,property_type,adr,occ,revenue,reviews,rating,bedrooms,accommodates,bathrooms,latitude,longitude,days_available,img_cover,regions
462993692,50291776,,2344824,Retro Apartment| Lux Extended Stay in Belmont,Entire home/apt,Rental unit,169.34421,permission_denied,permission_denied,20,9.5,1,2,1.0,38.02376,-78.47625,270,https://a0.muscache.com/im/pictures/prohost-api/Hosting-50291776/original/50aa674a-2310-44e5-ab23-ba1e565e2852.jpeg?aki_policy=x_large,[21398]
463014597,50618049,,,Modern Touches Meet 1920''s Downtown Charm,Entire home/apt,Home,305.7736,permission_denied,permission_denied,35,10.0,3,5,2.5,38.02978,-78.48957,246,https://a0.muscache.com/im/pictures/0764330e-27f1-464d-8d16-105ea7f46659.jpg?aki_policy=x_large,[21399]
463462844,50135126,,,C''ville townhouse,Private room,Townhouse,43.333336,permission_denied,permission_denied,2,10.0,1,2,1.5,38.12951,-78.44722,10,https://a0.muscache.com/im/pictures/5f475226-93c6-4d53-86e2-ef772cf76002.jpg?aki_policy=x_large,[21403]
464276529,50678458,,,Golden Duck Farm- close to UVa/Downtown/Foxfield,Entire home/apt,Home,845.0,permission_denied,permission_denied,1,10.0,3,10,3.5,38.08242,-78.51712,34,https://a0.muscache.com/im/pictures/4a0b2101-9e71-4f11-9b0b-c9e8a6f839c7.jpg?aki_policy=x_large,[21394]
464894273,50207514,,,Quaint 1 Bedroom Steps from UVA Campus,Entire home/apt,Rental unit,119.57143,permission_denied,permission_denied,0,,1,4,1.0,38.0322,-78.50559,57,https://a0.muscache.com/im/pictures/96932c04-e7bc-4729-8ecf-5e914b907100.jpg?aki_policy=x_large,[21399]
469342600,50700855,,2372367,Jefferson Cottage quiet farm close to everything,Entire home/apt,Farm stay,244.48198,permission_denied,permission_denied,60,9.9,1,2,1.0,38.00698,-78.4134,362,https://a0.muscache.com/im/pictures/miso/Hosting-50700855/original/9c0d1c2e-9681-4df8-aa0e-7b6135523d98.jpeg?aki_policy=x_large,[21398]
469961306,50997491,,,2 Bdrm Apt | Historic Charm | Walk to downtown!,Entire home/apt,Rental unit,220.79832,permission_denied,permission_denied,3,9.3,2,4,1.0,38.032856,-78.470863,56,https://a0.muscache.com/im/pictures/404081f5-e5b9-4ba7-b2ca-fc5b79dc3c7c.jpg?aki_policy=x_large,[21398]
471740719,50931114,,,Lovely small studio with free parking space.,Entire home/apt,Rental unit,165.26709,permission_denied,permission_denied,11,9.5,1,2,1.0,38.01324,-78.46922,269,https://a0.muscache.com/im/pictures/miso/Hosting-50931114/original/20046a12-7574-40bb-b8ea-094e6e9e3c45.png?aki_policy=x_large,[21398]
474109000,51120572,,,Room with Full Bed - Walk to Downtown,Private room,Bed and breakfast,75.204544,permission_denied,permission_denied,21,9.5,1,2,1.0,38.027,-78.46374,363,https://a0.muscache.com/im/pictures/ba39089b-2c9f-4c10-83c8-603df4b484c0.jpg?aki_policy=x_large,[21398]
474226765,50894153,,,Cozy Belmont Home for Long-term Rental of 30 days+,Entire home/apt,Home,243.1746,permission_denied,permission_denied,1,10.0,2,4,1.0,38.01802,-78.47897,145,https://a0.muscache.com/im/pictures/fac6e893-674d-4769-b2a9-18a866887b38.jpg?aki_policy=x_large,[21398]
474393270,51189642,,,The Venable - A Gorgeous Home in the Heart of UVA,Entire home/apt,Home,500.14914,permission_denied,permission_denied,19,10.0,3,8,3.0,38.04222,-78.49915,297,https://a0.muscache.com/im/pictures/miso/Hosting-51189642/original/c75b1a86-5f11-4dcd-969c-1594acee3e9c.jpeg?aki_policy=x_large,[21399]
